_id,year,title,gross_box_office,max_theater,open_theater,open_week,opening,Distributor,Domestic
66134b3eab14b5df5ef92020,2001,Croupier,"$127,295 ",11,11,12-Apr,"$55,238 ",null,AU
66134b3eab14b5df5ef92021,2006,The White Massai,"$478,548 ",20,20,20-Jul,"$73,630 ","[ ""Hopscotch Films"" ]",AU
66134b3eab14b5df5ef92022,2007,Death Proof,"$837,625 ",145,145,1-Nov,"$360,198 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92023,2001,Ride,"$124,871 ",3,1,24-May,"$29,113 ",null,AU
66134b3eab14b5df5ef92024,2006,Cry Wolf,"$477,282 ",146,146,23-Mar,"$248,972 ","[ ""United International Pictures"" ]",AU
66134b3eab14b5df5ef92025,2007,Scoop,"$831,952 ",107,107,15-Mar,"$229,270 ","[ ""Icon Film Distribution"" ]",AU
66134b3eab14b5df5ef92026,2001,The Limey,"$121,073 ",6,-,10-May,-,null,AU
66134b3eab14b5df5ef92027,2006,The Texas Chainsaw Massacre: The Beginning,"$469,532 ",119,119,16-Nov,"$220,815 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92028,2007,Hostel: Part II,"$812,175 ",98,98,7-Jun,"$395,459 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92029,2001,La spagnola,"$115,826 ",14,13,20-Sep,"$27,729 ",null,AU
66134b3eab14b5df5ef9202a,2006,Confetti,"$459,446 ",75,75,3-Aug,"$143,867 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef9202b,2007,African Adventure: Safari in the Okavango,"$811,654 ",2,-,20-Mar,-,"[ ""IMAX"" ]",AU
66134b3eab14b5df5ef9202c,2001,Let's Get Skase,"$110,785 ",109,109,18-Oct,"$67,325 ",null,AU
66134b3eab14b5df5ef9202d,2006,49 Up,"$455,203 ",20,6,3-Aug,"$43,386 ","[ ""Dendy Films"" ]",AU
66134b3eab14b5df5ef9202e,2001,Purely Belter,"$105,735 ",9,9,11-Oct,"$27,334 ",null,AU
66134b3eab14b5df5ef9202f,2006,The Squid and the Whale,"$443,036 ",14,14,13-Apr,"$80,370 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92030,2007,Lucky You,"$767,258 ",145,145,10-May,"$309,746 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92031,2002,Harry Potter and the Chamber of Secrets,"$20,857,535 ",488,-,28-Nov,-,null,AU
66134b3eab14b5df5ef92032,2007,Mr. Brooks,"$742,475 ",128,128,2-Aug,"$281,370 ","[ ""Hoyts Distribution"" ]",AU
66134b3eab14b5df5ef92033,2001,Series 7: The Contenders,"$105,021 ",9,8,31-May,"$25,509 ",null,AU
66134b3eab14b5df5ef92034,2006,Trust the Man,"$440,328 ",102,102,26-Oct,"$165,484 ","[ ""Icon Film Distribution"" ]",AU
66134b3eab14b5df5ef92035,2006,The White Countess,"$423,516 ",18,18,27-Apr,"$105,046 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92036,2007,Noise,"$737,867 ",24,14,3-May,"$68,340 ","[ ""Madman Entertainment"" ]",AU
66134b3eab14b5df5ef92037,2001,Lost Souls,"$101,331 ",61,61,24-Apr,"$65,862 ",null,AU
66134b3eab14b5df5ef92038,2002,Star Wars: Episode II - Attack of the Clones,"$18,887,163 ",459,-,16-May,-,null,AU
66134b3eab14b5df5ef92039,2006,Transamerica,"$421,768 ",-,-,23-Feb,-,null,AU
66134b3eab14b5df5ef9203a,2007,I'm Not There,"$727,305 ",23,19,26-Dec,"$121,109 ","[ ""Icon Film Distribution"" ]",AU
66134b3eab14b5df5ef9203b,2001,Sweet November,"$98,858 ",82,82,12-Apr,"$98,858 ",null,AU
66134b3eab14b5df5ef9203c,2006,Tsotsi,"$418,686 ",22,22,13-Apr,"$71,901 ","[ ""Rialto Distribution"" ]",AU
66134b3eab14b5df5ef9203d,2002,Spider-Man,"$17,233,598 ",470,-,6-Jun,-,null,AU
66134b3eab14b5df5ef9203e,2007,The Assassination of Jesse James by the Coward Robert Ford,"$721,453 ",32,32,1-Nov,"$207,892 ","[ ""Warner Bros."" ]",AU
66134b3eab14b5df5ef9203f,2001,Liam,"$82,098 ",7,7,12-Jul,"$28,970 ",null,AU
66134b3eab14b5df5ef92040,2002,My Big Fat Greek Wedding,"$15,168,243 ",213,-,24-Oct,-,null,AU
66134b3eab14b5df5ef92041,2006,The Nightmare Before Christmas,"$415,828 ",15,15,31-Oct,"$104,211 ","[ ""Buena Vista International"" ]",AU
66134b3eab14b5df5ef92042,2007,Halloween,"$702,662 ",127,127,22-Nov,"$309,563 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92043,2001,Angel Eyes,"$79,625 ",69,69,6-Sep,"$79,625 ",null,AU
66134b3eab14b5df5ef92044,2002,Ocean's Eleven,"$11,289,006 ",286,-,10-Jan,-,null,AU
66134b3eab14b5df5ef92045,2006,The Black Dahlia,"$414,285 ",52,52,23-Nov,"$123,205 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92046,2007,Flicka,"$693,241 ",155,155,4-Jan,"$188,956 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef92047,2001,Lucky Numbers,"$78,910 ",95,95,8-Feb,"$78,910 ",null,AU
66134b3eab14b5df5ef92048,2006,Two for the Money,"$407,352 ",105,105,11-May,"$203,534 ","[ ""United International Pictures"" ]",AU
66134b3eab14b5df5ef92049,2002,Ice Age,"$10,869,472 ",314,-,21-Mar,-,"[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef9204a,2001,The Vertical Ray of the Sun,"$73,165 ",10,10,27-Sep,"$36,900 ",null,AU
66134b3eab14b5df5ef9204b,2007,Reign Over Me,"$689,957 ",56,56,22-Mar,"$223,418 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef9204c,2009,Avatar,"$103,866,237 ",590,588,17-Dec,"$10,652,669 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef9204d,2006,Kabhi Alvida Naa Kehna,"$400,037 ",12,11,10-Aug,"$180,446 ","[ ""MG Distribution"" ]",AU
66134b3eab14b5df5ef9204e,2002,Die Another Day,"$10,520,593 ",323,-,12-Dec,-,"[ ""Big Bull Productions"" ]",AU
66134b3eab14b5df5ef9204f,2001,Songcatcher,"$66,955 ",7,-,1-Mar,-,null,AU
66134b3eab14b5df5ef92050,2007,Black Book,"$688,798 ",13,13,5-Jul,"$104,094 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92051,2006,Beerfest,"$398,997 ",101,101,28-Sep,"$122,220 ","[ ""Warner Bros."" ]",AU
66134b3eab14b5df5ef92052,2009,Harry Potter and the Half-Blood Prince,"$34,954,004 ",510,510,15-Jul,"$11,492,142 ","[ ""Warner Bros."" ]",AU
66134b3eab14b5df5ef92053,2002,Austin Powers in Goldmember,"$10,511,961 ",329,-,19-Sep,-,"[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef92054,2001,Yolngu Boy,"$64,318 ",4,4,15-Mar,"$17,960 ",null,AU
66134b3eab14b5df5ef92055,2007,Waitress,"$666,644 ",57,56,25-Oct,"$167,331 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef92056,2006,Footy Legends,"$382,243 ",121,121,3-Aug,"$149,660 ","[ ""Icon Film Distribution"" ]",AU
66134b3eab14b5df5ef92057,2007,This Is England,"$651,380 ",21,14,16-Aug,"$92,665 ","[ ""Madman Entertainment"" ]",AU
66134b3eab14b5df5ef92058,2001,2001: A Space Odyssey,"$49,782 ",10,9,8-Mar,"$20,079 ",null,AU
66134b3eab14b5df5ef92059,2009,Transformers: Revenge of the Fallen,"$33,554,033 ",457,457,24-Jun,"$11,011,087 ","[ ""Paramount Pictures International"" ]",AU
66134b3eab14b5df5ef9205a,2002,A Beautiful Mind,"$10,368,890 ",320,-,7-Mar,-,null,AU
66134b3eab14b5df5ef9205b,2001,Dancer in the Dark,"$48,476 ",13,-,1-Jan,-,null,AU
66134b3eab14b5df5ef9205c,2009,Up,"$25,296,200 ",434,218,3-Sep,"$1,795,243 ","[ ""Buena Vista International"" ]",AU
66134b3eab14b5df5ef9205d,2002,Scooby-Doo,"$9,937,765 ",304,-,20-Jun,-,null,AU
66134b3eab14b5df5ef9205e,2006,Dhoom 2,"$349,160 ",12,12,23-Nov,"$137,358 ","[ ""MG Distribution"" ]",AU
66134b3eab14b5df5ef9205f,2001,The Crimson Rivers,"$45,270 ",13,13,28-Jun,"$17,154 ",null,AU
66134b3eab14b5df5ef92060,2007,Next,"$593,952 ",145,145,23-Aug,"$272,835 ","[ ""Paramount Pictures International"" ]",AU
66134b3eab14b5df5ef92062,2007,The Namesake,"$588,512 ",38,38,5-Apr,"$122,446 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef92063,2002,Men in Black II,"$9,698,146 ",365,-,3-Jul,-,null,AU
66134b3eab14b5df5ef92064,2006,Samoan Wedding,"$343,069 ",44,33,13-Jul,"$134,269 ","[ ""Sony Pictures Releasing"" ]",AU
66134b3eab14b5df5ef92065,2001,Doctor Zhivago,"$44,960 ",1,-,10-May,-,null,AU
66134b3eab14b5df5ef92066,2007,The Singer (Quand j'étais chanteur),"$579,375 ",16,14,5-Apr,"$86,949 ","[ ""Palace Films"" ]",AU
66134b3eab14b5df5ef92067,2002,The Bourne Identity,"$7,071,859 ",238,-,26-Sep,-,null,AU
66134b3eab14b5df5ef92061,2009,Ice Age: Dawn of the Dinosaurs,"$24,725,499 ",425,422,2-Jul,"$4,681,343 ","[ ""20th Century Fox International"" ]",AU
66134b3eab14b5df5ef92068,2001,The Way of the Gun,"$43,115 ",28,28,17-May,"$43,115 ",null,AU
66134b3eab14b5df5ef92069,2006,Hustle & Flow,"$339,585 ",107,107,9-Mar,"$160,460 ","[ ""United International Pictures"" ]",AU
66134b3eab14b5df5ef9206a,2007,I Do: How to Get Married and Stay Single,"$578,106 ",20,20,21-Jun,"$98,728 ","[ ""Hopscotch Films"" ]",AU
66134b3eab14b5df5ef9206b,2009,Sherlock Holmes,"$22,777,578 ",308,308,24-Dec,"$3,398,092 ","[ ""Roadshow Films"" ]",AU
66134b3eab14b5df5ef9206c,2001,Woman on Top,"$40,476 ",15,15,1-Feb,"$27,100 ",null,AU
66134b3eab14b5df5ef9206d,2002,Lilo & Stitch,"$6,952,780 ",305,-,5-Sep,-,null,AU
66134b3eab14b5df5ef9206e,2006,The Nativity Story,"$338,489 ",108,108,30-Nov,"$85,022 ","[ ""Roadshow Films"" ]",AU
