_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
66134519068e2ab147e278cc,"[ ""Walt Disney Pictures"" ]","$4,685,526 ",315,314,11-May,"$1,198,143 ",Larry Crowne,2012,JP
66134519068e2ab147e278cd,null,"$4,604,003 ",135,135,7-Jul,"$913,091 ",Soreike! Anpanman: Yomigaere Bananajima,2012,JP
66134519068e2ab147e278ce,"[ ""Walt Disney Pictures"" ]","$4,589,196 ",115,115,26-Oct,"$645,693 ",Argo,2012,JP
66134519068e2ab147e278cf,"[ ""Warner Bros."" ]","$4,275,148 ",251,251,23-Nov,"$759,039 ",Trouble with the Curve,2012,JP
66134519068e2ab147e278d0,"[ ""Gaga"" ]","$4,237,103 ",191,191,14-Sep,"$845,369 ",Mirror Mirror,2012,JP
66134519068e2ab147e278d1,"[ ""Toho-Towa"" ]","$4,198,743 ",248,248,7-Sep,"$1,176,262 ",Safe House,2012,JP
66134519068e2ab147e278d2,null,"$4,083,596 ",151,147,28-Dec,"$817,065 ",The Twilight Saga: Breaking Dawn - Part 2,2012,JP
66134519068e2ab147e278d3,"[ ""Toho-Towa"" ]","$4,056,777 ",216,215,3-Feb,"$1,133,320 ",Tower Heist,2012,JP
66134519068e2ab147e278d4,"[ ""Asmik Ace Entertainment"" ]","$4,044,144 ",166,166,8-Sep,"$998,339 ",Dreams for Sale,2012,JP
66134519068e2ab147e278d5,null,"$3,984,152 ",94,94,27-Jan,"$964,953 ",Documentary of AKB48: Show Must Go On,2012,JP
66134519068e2ab147e278d6,null,"$3,928,891 ",137,132,25-Aug,"$956,916 ",Ushijima the Loan Shark,2012,JP
66134519068e2ab147e278d7,"[ ""Walt Disney Pictures"" ]","$3,758,102 ",305,305,7-Jul,"$890,237 ",Man on a Ledge,2012,JP
66134519068e2ab147e278d8,"[ ""Toho-Towa"" ]","$3,682,096 ",92,92,21-Jan,"$893,343 ",You're My Pet,2012,JP
66134519068e2ab147e278d9,"[ ""Warner Bros."" ]","$3,558,295 ",138,138,28-Jan,"$984,117 ",J. Edgar,2012,JP
66134519068e2ab147e278da,null,"$3,455,688 ",206,206,25-Feb,"$1,108,362 ",The Twilight Saga: Breaking Dawn - Part 1,2012,JP
66134519068e2ab147e278db,"[ ""Toei Company"" ]","$3,354,099 ",236,235,2-Jun,"$902,629 ",Black Dawn,2012,JP
66134519068e2ab147e278dc,"[ ""Sony Pictures Releasing"" ]","$3,348,319 ",172,172,4-Feb,"$768,513 ",Arakawa Under the Bridge,2012,JP
