_id,Distributor,gross_box_office,max_theater,open_theater,open_week,opening,title,year,Domestic
6613478120c516ce485cfac4,"[ ""Edko Films"" ]","$24,050 ",2,2,14-Apr,"$18,025 ",45 Years,2016,HK
6613478120c516ce485cfac5,null,"$22,040 ",1,-,25-Feb,-,Harmony,2016,HK
6613478120c516ce485cfac6,null,"$21,596 ",6,6,14-Jan,"$10,181 ",Goodbye Mr. Loser,2016,HK
6613478120c516ce485cfac7,null,"$19,426 ",6,6,10-Mar,"$9,133 ",The Last Mission,2016,HK
6613478120c516ce485cfac8,null,"$17,732 ",1,-,14-Jan,-,Aoki Hagane no Arpeggio: Ars Nova DC,2016,HK
6613478120c516ce485cfac9,"[ ""Edko Films"" ]","$17,096 ",1,1,14-Jan,$681 ,"Thanatos, Drunk",2016,HK
6613478120c516ce485cfaca,"[ ""Edko Films"" ]","$16,872 ",1,1,21-Jan,"$7,704 ",Mr. Six,2016,HK
6613478120c516ce485cfacb,null,"$16,642 ",-,-,16-Jun,-,A Bigger Splash,2016,HK
6613478120c516ce485cfacc,"[ ""Edko Films"" ]","$13,097 ",1,1,3-Mar,"$1,526 ",Manglehorn,2016,HK
6613478120c516ce485cfacd,"[ ""Golden Scene"" ]","$11,562 ",14,14,22-Sep,"$11,562 ",Equals,2016,HK
6613478120c516ce485cface,"[ ""Lark Films Distribution"" ]","$11,415 ",8,8,21-Jan,"$7,672 ",Love in Late Autumn,2016,HK
6613478120c516ce485cfacf,"[ ""Edko Films"" ]","$10,803 ",6,6,14-Apr,"$10,803 ",Life,2016,HK
6613478120c516ce485cfad0,"[ ""Edko Films"" ]","$9,488 ",1,1,21-Jan,"$2,328 ",Misono Universe,2016,HK
6613478120c516ce485cfad1,"[ ""Edko Films"" ]","$8,959 ",1,1,21-Jan,"$4,515 ",Tag,2016,HK
6613478120c516ce485cfad2,"[ ""Deltamac Co."" ]","$8,783 ",6,6,7-Jan,"$7,533 ",You Call It Passion,2016,HK
6613478120c516ce485cfad3,"[ ""Golden Scene"" ]","$7,097 ",4,4,14-Apr,"$7,097 ",Louder Than Bombs,2016,HK
6613478120c516ce485cfad4,null,"$3,339 ",1,1,28-Jan,"$3,339 ",Gatao,2016,HK
6613478120c516ce485cfad5,"[ ""Deltamac Co."" ]","$3,134 ",3,3,3-Mar,"$3,134 ",The Magician,2016,HK
6613478120c516ce485cfad6,"[ ""Gala Films"" ]","$2,782 ",1,1,28-Jan,"$2,782 ",A Journey Through Time with Antony,2016,HK
6613478120c516ce485cfad7,"[ ""Edko Films"" ]","$2,646 ",1,1,17-Mar,$649 ,You're Ugly Too,2016,HK
6613478120c516ce485cfad8,"[ ""Sony Pictures Releasing"" ]",$859 ,2,2,25-Aug,$859 ,My Best Friend's Wedding,2016,HK
6613478120c516ce485cfad9,"[ ""Walt Disney Pictures"" ]","$29,330,722 ",-,-,24-Apr,-,Avengers: Endgame,2019,HK
6613478120c516ce485cfada,"[ ""Walt Disney Pictures"" ]","$11,834,631 ",-,-,11-Jul,-,Toy Story 4,2019,HK
6613478120c516ce485cfadb,"[ ""Sony Pictures Releasing"" ]","$11,572,556 ",422,-,28-Jun,-,Spider-Man: Far from Home,2019,HK
6613478120c516ce485cfadc,"[ ""Walt Disney Pictures"" ]","$10,193,610 ",-,-,6-Mar,-,Captain Marvel,2019,HK
6613478120c516ce485cfadd,"[ ""Warner Bros."" ]","$8,700,000 ",-,-,3-Oct,-,Joker,2019,HK
6613478120c516ce485cfade,"[ ""Walt Disney Pictures"" ]","$7,975,959 ",-,-,23-May,-,Aladdin,2019,HK
6613478120c516ce485cfadf,"[ ""Walt Disney Pictures"" ]","$7,794,427 ",-,-,23-Nov,"$2,072,703 ",Frozen II,2019,HK
6613478120c516ce485cfae0,"[ ""20th Century Fox International"" ]","$5,632,349 ",87,-,7-Feb,-,Alita: Battle Angel,2019,HK
6613478120c516ce485cfae1,"[ ""Walt Disney Pictures"" ]","$5,169,696 ",-,-,25-Jul,-,The Lion King,2019,HK
6613478120c516ce485cfae2,"[ ""Universal Pictures International (UPI)"" ]","$5,092,778 ",57,-,1-Aug,-,Fast & Furious Presents: Hobbs & Shaw,2019,HK
6613478120c516ce485cfae3,"[ ""Walt Disney Pictures"" ]","$4,452,691 ",-,-,19-Dec,"$1,904,190 ",Star Wars: Episode IX - The Rise of Skywalker,2019,HK
6613478120c516ce485cfae4,"[ ""Sony Pictures Releasing"" ]","$4,324,806 ",179,179,12-Dec,"$1,286,066 ",Jumanji: The Next Level,2019,HK
6613478120c516ce485cfae5,null,"$3,982,632 ",-,-,5-Feb,-,Integrity,2019,HK
6613478120c516ce485cfae6,"[ ""Walt Disney Pictures"" ]","$3,747,830 ",-,-,17-Oct,"$1,235,273 ",Maleficent: Mistress of Evil,2019,HK
6613478120c516ce485cfae7,null,"$3,725,263 ",-,-,20-Dec,"$958,911 ",Ip Man 4: The Finale,2019,HK
6613478120c516ce485cfae8,"[ ""Sony Pictures Releasing"" ]","$3,281,153 ",163,-,13-Jun,-,Men in Black: International,2019,HK
6613478120c516ce485cfae9,"[ ""Intercontinental Film Distributors (HK)"" ]","$3,213,402 ",54,-,16-May,-,John Wick: Chapter 3 - Parabellum,2019,HK
6613478120c516ce485cfaea,null,"$3,132,748 ",-,-,16-Jul,-,The White Storm 2: Drug Lords,2019,HK
6613478120c516ce485cfaeb,"[ ""Warner Bros."" ]","$3,100,000 ",-,-,9-May,-,Pokémon: Detective Pikachu,2019,HK
6613478120c516ce485cfaec,"[ ""Walt Disney Pictures"" ]","$2,946,000 ",-,-,6-Jun,-,Dark Phoenix,2019,HK
6613478120c516ce485cfaed,"[ ""Edko Films"" ]","$2,821,355 ",-,-,5-Feb,-,The New King of Comedy,2019,HK
6613478120c516ce485cfaee,"[ ""Warner Bros."" ]","$2,800,000 ",-,-,4-Apr,-,Shazam!,2019,HK
6613478120c516ce485cfaef,"[ ""Universal Pictures International (UPI)"" ]","$2,709,214 ",51,-,31-Jan,-,How to Train Your Dragon: The Hidden World,2019,HK
6613478120c516ce485cfaf0,"[ ""Edko Films"" ]","$2,605,764 ",-,-,8-Aug,-,Weathering with You,2019,HK
6613478120c516ce485cfaf1,"[ ""Warner Bros."" ]","$2,600,000 ",-,-,30-May,-,Godzilla: King of the Monsters,2019,HK
6613478120c516ce485cfaf2,"[ ""20th Century Fox International"" ]","$2,524,036 ",-,-,31-Oct,"$1,273,456 ",Terminator: Dark Fate,2019,HK
6613478120c516ce485cfaf3,"[ ""Golden Scene"" ]","$2,467,971 ",-,-,11-Apr,-,Still Human,2019,HK
6613478120c516ce485cfaf4,null,"$2,251,168 ",-,-,4-Apr,-,P Storm,2019,HK
